trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,9,-2.528953533285896,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,2,-9.906447630724504,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-161.09273272332183,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,3,-7.9916338012108845,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,6,-32.61342667506783,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,8,-4.289341331886078,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,8,-0.903872810656841,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",35,17,-5.542160462112117,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,8,-57.34227293085749,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-72.02039384909742,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,9,5.492663627531968,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-40.1421317433008,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",30,24,10.675355593015219,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,4,-94.63425432780954,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,0,8.266567257998659,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,10,-32.06457355862069,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,7,1.0569927827625325,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-9.789034938108445,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
